id,codorigem,munorigem,coddest,mundest,VAR01
2747,2204907,ISAÍAS COELHO,2208007,PICOS,1
14283,3556701,Vinhedo,3550308,São Paulo,1
19122,5102850,CASTANHEIRA,5103403,Cuiabá,2
14335,3528403,MAIRINQUE,3550605,São Roque,4
2726,2206357,MILTON BRANDÃO,2207900,Pedro II,2
12439,3525300,Jaú,3506003,Bauru,3
15521,4103800,CAMBIRA,4115200,Maringá,1
16482,4217808,Taió,4205407,Florianópolis,1
4815,2500205,AGUIAR,2507507,João Pessoa,1
6924,2920106,MAIRI,2906006,Campo Formoso,1
19,1100148,Nova Brasilândia d'Oeste,1100049,Cacoal,2
9339,3127602,GOUVEIA,3120904,Curvelo,1
3750,2305332,Ibicuitinga,2311306,Quixadá,5
14315,3542602,Registro,3550336,São Paulo,1
16648,4203600,CAMPOS NOVOS,4209300,Lages,1
16132,4218608,TROMBUDO CENTRAL,4202404,Blumenau,1
5479,2613602,SÃO JOSÉ DO EGITO,2604106,Caruaru,1
16833,4200606,Águas Mornas,4216602,São José,2
3456,2307304,Juazeiro do Norte,2304403,Fortaleza,1
18685,4311775,MAQUINÉ,4323002,Viamão,1
4219,2413359,SERRA DO MEL,2408003,Mossoró,5
8990,3122470,DOM BOSCO,3108206,Bonfinópolis de Minas,1
6093,2606408,Gravatá,2616407,Vitória de Santo Antão,3
8318,2918308,JITAÚNA,2933307,Vitória da Conquista,1
9785,3113503,CARBONITA,3132503,Itamarandiba,2
1645,2104503,GOVERNADOR ARCHER,2103000,Caxias,1
11477,3200300,ALFREDO CHAVES,3200300,Alfredo Chaves,1
3071,2209955,SÃO JOÃO DA VARJOTA,2211001,Teresina,2
12984,3503901,ARUJÁ,3523107,ITAQUAQUECETUBA,1
18073,4316907,Santa Maria,4314902,Porto Alegre,5
11459,3201159,BREJETUBA,3200102,Afonso Cláudio,2
13220,3546405,SANTA CRUZ DO RIO PARDO,3529005,Marília,2
19965,5200159,ADELÂNDIA,5210000,INHUMAS,1
4548,2515104,SÃO SEBASTIÃO DE LAGOA DE ROÇA,2501104,AREIA,1
8754,3142908,Monte Azul,3106200,Belo Horizonte,2
20210,5212253,LAGOA SANTA,5218508,QUIRINÓPOLIS,2
3349,2302503,Brejo Santo,2304400,Fortaleza,1
1887,2107456,OLINDA NOVA DO MARANHÃO,2108306,Penalva,1
19497,5207501,ESTRELA DO NORTE,5201108,Anápolis,1
8543,3129400,Ibertioga,3105608,Barbacena,5
10666,3103108,ANTÔNIO PRADO DE MINAS,3152105,Ponte Nova,1
19400,5104542,Itanhangá,5107909,Sinop,1
1006,1600808,VITÓRIA DO JARI,1600279,Laranjal do Jari,2
13639,3542602,REGISTRO,3542602,Registro,6
10201,3143005,MONTE BELO,3143005,Monte Belo,1
701,1502301,CAPITÃO POÇO,1502400,Castanhal,1
6773,2903409,BELMONTE,2903409,Belmonte,2
3658,2306504,ITAPIÚNA,2307650,Maracanaú,1
12586,3512209,CONCHAL,3509502,Campinas,1
