id,codorigem,munorigem,coddest,mundest,VAR01
2747,2204907,ISAÍAS COELHO,2208007,PICOS,1
14283,3556701,Vinhedo,3550308,São Paulo,1
19122,5102850,CASTANHEIRA,5103403,Cuiabá,2
14335,3528403,MAIRINQUE,3550605,São Roque,4
2726,2206357,MILTON BRANDÃO,2207900,Pedro II,2
12439,3525300,Jaú,3506003,Bauru,3
15521,4103800,CAMBIRA,4115200,Maringá,1
16482,4217808,Taió,4205407,Florianópolis,1
4815,2500205,AGUIAR,2507507,João Pessoa,1
6924,2920106,MAIRI,2906006,Campo Formoso,1
19,1100148,Nova Brasilândia d'Oeste,1100049,Cacoal,2
